"dataset_id","dataset_label","component","reason","taxa_count"
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","present-conditional abundance","Conditional-present fit had non-positive information",1
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","present-conditional abundance","Conditional-present root refinement did not close",1
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","combined","Both component results were unavailable",1
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","combined","Structural-absence result was unavailable",3
"gems_pediatric_diarrhea","GEMS pediatric diarrhea","combined","Present-conditional abundance result was unavailable",1
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","structural absence","Structural-absence nuisance fit was not optimal",55
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","structural absence","Conditional-present fit retained a non-negligible gradient",6
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","structural absence","Conditional-present fit remained on a parameter boundary",3
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","structural absence","Conditional-present fit design was rank deficient",2
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",4
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","present-conditional abundance","Conditional-present fit design was rank deficient",2
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","present-conditional abundance","Conditional-present root refinement did not close",1
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","combined","Both component results were unavailable",7
"hfmd_matched","Matched pediatric hand foot and mouth disease cohort","combined","Structural-absence result was unavailable",59
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","structural absence","Structural-absence nuisance fit was not optimal",56
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","structural absence","Conditional-present fit remained on a parameter boundary",27
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","structural absence","Conditional-present fit retained a non-negligible gradient",7
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","structural absence","Structural-absence inference derivative was unstable",1
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","present-conditional abundance","Conditional-present root refinement did not close",9
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",6
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","present-conditional abundance","Conditional-present fit had non-positive information",5
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","present-conditional abundance","Conditional-present root refinement did not improve the objective",3
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","combined","Both component results were unavailable",16
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","combined","Structural-absence result was unavailable",75
"qiita_14884_cervical_chlamydia","Qiita 14884 pre-infection cervicovaginal microbiome","combined","Present-conditional abundance result was unavailable",7
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Structural-absence nuisance fit was not optimal",16
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Conditional-present fit retained a non-negligible gradient",13
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Structural-absence fit remained on a parameter boundary",8
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Conditional-present fit remained on a parameter boundary",1
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Structural-absence inference derivative was unstable",1
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","structural absence","Conditional-present fit design was rank deficient",1
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present fit retained a non-negligible gradient",12
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present fit had non-positive information",5
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present root refinement did not close",5
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present root refinement did not improve the objective",4
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present fit remained on a parameter boundary",1
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","present-conditional abundance","Conditional-present fit design was rank deficient",1
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","combined","Both component results were unavailable",14
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","combined","Structural-absence result was unavailable",26
"qiita_10567_parkinson","Qiita 10567 Parkinson's disease comparison","combined","Present-conditional abundance result was unavailable",14
"imsms_household_control_sex","iMSMS household healthy-control adult sex","structural absence","Conditional-present fit design was rank deficient",21
"imsms_household_control_sex","iMSMS household healthy-control adult sex","structural absence","Structural-absence fit remained on a parameter boundary",1
"imsms_household_control_sex","iMSMS household healthy-control adult sex","present-conditional abundance","Conditional-present fit design was rank deficient",21
"imsms_household_control_sex","iMSMS household healthy-control adult sex","present-conditional abundance","Conditional-present root refinement did not close",2
"imsms_household_control_sex","iMSMS household healthy-control adult sex","combined","Both component results were unavailable",21
"imsms_household_control_sex","iMSMS household healthy-control adult sex","combined","Structural-absence result was unavailable",1
"imsms_household_control_sex","iMSMS household healthy-control adult sex","combined","Present-conditional abundance result was unavailable",2
